"Time","SpineBase","SpineMid","Neck","Head","ShoulderLeft","ElbowLeft","WristLeft","HandLeft","ShoulderRight","ElbowRight","WristRight","HandRight","HipLeft","KneeLeft","AnkleLeft","FootLeft","HipRight","KneeRight","AnkleRight","FootRight","SpineShoulder","HandTipLeft","ThumbLeft","HandTipRight","ThumbRight"
"267908586360","-0.105195","-0.099750","-0.094077","-0.100874","-0.260324","-0.326611","-0.359910","-0.361930","0.056820","0.114016","0.113155","0.090550","-0.176218","-0.214173","-0.233056","-0.233887","-0.032099","-0.036999","-0.068689","-0.047119","-0.095543","-0.359122","-0.319874","0.074368","0.134120"
"267908586360","0.168818","0.485206","0.794290","0.953191","0.666291","0.378129","0.139271","0.086711","0.652983","0.389256","0.151889","0.080644","0.170192","-0.236939","-0.587943","-0.628906","0.164120","-0.265081","-0.626886","-0.677246","0.718086","-0.008177","0.076707","-0.000718","0.067669"
"267908586360","3.906618","3.893431","3.867761","3.860072","3.862012","3.892705","3.874240","3.877070","3.844575","3.867416","3.811088","3.808101","3.869098","3.719764","3.679578","3.560547","3.867244","3.934675","4.013650","3.937500","3.876541","3.898819","3.836000","3.811326","3.794600"
"267908916760","-0.105355","-0.100686","-0.095981","-0.099908","-0.260068","-0.332959","-0.363202","-0.367206","0.056681","0.113262","0.112957","0.089079","-0.176407","-0.216428","-0.242214","-0.235737","-0.032212","-0.037531","-0.068549","-0.046986","-0.097187","-0.363462","-0.340214","0.076902","0.124558"
"267908916760","0.165807","0.482620","0.792280","0.951048","0.665431","0.401756","0.139015","0.084487","0.653949","0.390339","0.155531","0.079072","0.166941","-0.237771","-0.581208","-0.630589","0.161489","-0.268712","-0.619966","-0.677186","0.715917","-0.019238","0.039932","-0.008509","0.039413"
"267908916760","3.899279","3.883478","3.854614","3.850613","3.855793","3.874441","3.865808","3.858104","3.842502","3.859694","3.808094","3.798222","3.863530","3.710272","3.663770","3.555163","3.857728","3.933042","4.011450","3.937620","3.864247","3.877273","3.818100","3.807582","3.795375"
"267909255303","-0.106115","-0.104059","-0.101724","-0.102167","-0.265688","-0.339515","-0.365605","-0.373795","0.051820","0.105705","0.111204","0.086047","-0.177235","-0.226176","-0.247017","-0.255843","-0.032869","-0.039394","-0.071410","-0.046657","-0.102353","-0.365660","-0.330369","0.070511","0.142414"
"267909255303","0.151325","0.473788","0.788297","0.946807","0.657804","0.381888","0.143987","0.078508","0.653381","0.385464","0.151370","0.077778","0.149802","-0.240557","-0.586993","-0.632989","0.149710","-0.273386","-0.621233","-0.679463","0.710778","-0.019944","0.038849","-0.009339","0.097100"
"267909255303","3.876632","3.860666","3.831274","3.822885","3.827686","3.858065","3.845431","3.835337","3.817825","3.838620","3.789726","3.780934","3.837567","3.683778","3.641070","3.516752","3.838173","3.927988","4.006231","3.937057","3.841077","3.844766","3.780667","3.791161","3.777833"
"267909584193","-0.110458","-0.107316","-0.103854","-0.108298","-0.270349","-0.349872","-0.387794","-0.377844","0.045728","0.097133","0.099227","0.078480","-0.181451","-0.229836","-0.251503","-0.257325","-0.037237","-0.042604","-0.069576","-0.047423","-0.104774","-0.370220","-0.340340","0.070141","0.145566"
"267909584193","0.150972","0.471506","0.784493","0.941758","0.653870","0.342476","0.104348","0.072410","0.645741","0.370577","0.132855","0.064785","0.150948","-0.243511","-0.587322","-0.639348","0.147900","-0.273335","-0.616171","-0.678517","0.707332","-0.029512","0.060512","-0.019585","0.109005"
"267909584193","3.852469","3.836730","3.808550","3.795531","3.811255","3.818763","3.812750","3.811920","3.798396","3.818660","3.763917","3.762505","3.813793","3.665131","3.627203","3.503878","3.813646","3.909634","4.004252","3.938098","3.817961","3.837867","3.770182","3.770680","3.769167"
"267909917509","-0.117304","-0.116926","-0.116373","-0.111497","-0.276294","-0.351249","-0.381954","-0.385019","0.035976","0.092953","0.096945","0.078355","-0.188540","-0.234208","-0.254672","-0.258296","-0.043691","-0.046282","-0.069950","-0.047823","-0.116559","-0.372322","-0.351314","0.055612","0.138348"
"267909917509","0.142432","0.463338","0.776610","0.935495","0.644731","0.377729","0.137157","0.062570","0.636959","0.379847","0.132370","0.063077","0.142635","-0.240477","-0.593692","-0.649892","0.139372","-0.273847","-0.616509","-0.678748","0.699394","-0.030565","0.055010","-0.030314","0.079377"
