"Time","SpineBase","SpineMid","Neck","Head","ShoulderLeft","ElbowLeft","WristLeft","HandLeft","ShoulderRight","ElbowRight","WristRight","HandRight","HipLeft","KneeLeft","AnkleLeft","FootLeft","HipRight","KneeRight","AnkleRight","FootRight","SpineShoulder","HandTipLeft","ThumbLeft","HandTipRight","ThumbRight"
"277565242582","-1.796289","-1.750074","-1.699438","-1.633866","-1.753991","-1.858735","-1.848623","-1.798522","-1.643302","-1.715109","-1.617252","-1.581037","-1.807872","-1.530856","-1.573589","-1.514025","-1.757603","-1.473033","-1.562762","-1.479509","-1.712943","-1.761616","-1.735799","-1.568962","-1.560954"
"277565242582","-0.675363","-0.439326","-0.205134","-0.071926","-0.293485","-0.482450","-0.705242","-0.758909","-0.302194","-0.574911","-0.702033","-0.770316","-0.668360","-0.811324","-1.119915","-1.173340","-0.672172","-0.822847","-1.119914","-1.135086","-0.263471","-0.819097","-0.769376","-0.781517","-0.746599"
"277565242582","3.279832","3.251848","3.214885","3.201656","3.100858","3.044940","3.031328","3.032792","3.377460","3.469744","3.204319","3.052274","3.203867","3.065660","3.096004","3.130320","3.306276","3.242055","3.101906","3.186262","3.225807","3.011191","2.972572","3.035586","3.029334"
"277565574241","-1.797852","-1.747225","-1.685640","-1.623505","-1.748313","-1.856066","-1.814881","-1.769755","-1.636603","-1.705026","-1.634815","-1.668512","-1.809385","-1.529838","-1.573713","-1.518322","-1.758928","-1.472799","-1.494688","-1.499023","-1.702865","-1.751882","-1.776777","-1.613994","-1.613622"
"277565574241","-0.674424","-0.436964","-0.197422","-0.067470","-0.291958","-0.535436","-0.728751","-0.776682","-0.301081","-0.542390","-0.642099","-0.653604","-0.667367","-0.812006","-1.120983","-1.166706","-0.671236","-0.822868","-1.114866","-1.156250","-0.257522","-0.813526","-0.784894","-0.679096","-0.645963"
"277565574241","3.287518","3.254410","3.212047","3.200696","3.099890","3.061069","3.023937","3.027038","3.374837","3.457258","3.289866","3.276453","3.209983","3.066674","3.096528","3.117171","3.315152","3.243173","3.245215","3.150391","3.224994","2.995309","2.979222","3.222315","3.270667"
"277565904185","-1.806750","-1.744440","-1.665263","-1.603827","-1.725115","-1.838579","-1.818308","-1.775071","-1.612740","-1.688607","-1.634695","-1.656108","-1.819199","-1.528227","-1.573673","-1.534949","-1.768315","-1.469521","-1.495749","-1.493945","-1.687462","-1.749276","-1.786636","-1.642465","-1.612844"
"277565904185","-0.668131","-0.433212","-0.193122","-0.068051","-0.283268","-0.517078","-0.716102","-0.767094","-0.295036","-0.525205","-0.643510","-0.640001","-0.660067","-0.748120","-1.121275","-1.194055","-0.664741","-0.740485","-1.114759","-1.159268","-0.252675","-0.813366","-0.774419","-0.662124","-0.634086"
"277565904185","3.289323","3.253989","3.206921","3.192938","3.088206","3.055844","3.037492","3.036076","3.359605","3.444530","3.290560","3.275400","3.206512","3.070275","3.097356","3.069798","3.322206","3.217353","3.244395","3.152956","3.220979","3.007315","2.987846","3.232759","3.263167"
"277566242416","-1.800372","-1.730671","-1.645956","-1.586887","-1.712775","-1.826099","-1.803654","-1.771530","-1.602171","-1.673960","-1.623374","-1.665155","-1.813015","-1.527801","-1.574679","-1.529166","-1.760107","-1.468727","-1.496301","-1.492509","-1.668822","-1.758992","-1.777185","-1.658612","-1.581324"
"277566242416","-0.671665","-0.425119","-0.175123","-0.047095","-0.269779","-0.499936","-0.736103","-0.774527","-0.287669","-0.518209","-0.640439","-0.631349","-0.662191","-0.748270","-1.120642","-1.192581","-0.670795","-0.739546","-1.114822","-1.161830","-0.237836","-0.818919","-0.768530","-0.633103","-0.660087"
"277566242416","3.323165","3.263306","3.199842","3.185858","3.087611","3.056980","3.043258","3.035716","3.358887","3.436654","3.288126","3.269296","3.234651","3.071134","3.097354","3.070833","3.360827","3.217267","3.244288","3.152298","3.218330","3.013689","2.973000","3.120447","3.216834"
"277566575331","-1.774974","-1.705566","-1.631313","-1.564296","-1.701485","-1.795092","-1.801201","-1.770246","-1.587139","-1.667953","-1.524740","-1.482964","-1.788912","-1.521118","-1.576998","-1.509781","-1.732284","-1.458601","-1.495293","-1.495067","-1.650733","-1.754430","-1.755730","-1.444168","-1.444815"
"277566575331","-0.662878","-0.407124","-0.155092","-0.020459","-0.252200","-0.471667","-0.723367","-0.770654","-0.272306","-0.514929","-0.643081","-0.684556","-0.653948","-0.751034","-1.122720","-1.182236","-0.661061","-0.763752","-1.109078","-1.161778","-0.217401","-0.822823","-0.775160","-0.724875","-0.660523"
"277566575331","3.302155","3.250672","3.191390","3.180176","3.078268","3.034818","3.040595","3.027483","3.355973","3.425146","3.247803","3.205446","3.220126","3.072262","3.099603","3.095010","3.330231","3.228522","3.242396","3.152268","3.208052","3.004397","2.973800","3.171746","3.206201"
"277567242637","-1.758415","-1.689094","-1.615126","-1.556202","-1.681922","-1.792326","-1.794213","-1.768435","-1.564585","-1.645785","-1.593166","-1.565079","-1.769800","-1.517727","-1.575843","-1.515790","-1.718619","-1.454859","-1.496525","-1.496594","-1.634480","-1.762067","-1.808182","-1.545248","-1.533758"
"277567242637","-0.630464","-0.379469","-0.130193","-0.002539","-0.213961","-0.469101","-0.730636","-0.772028","-0.240833","-0.504163","-0.635663","-0.652435","-0.618031","-0.739395","-1.120905","-1.189979","-0.633004","-0.733151","-1.109846","-1.164248","-0.192238","-0.819926","-0.758223","-0.662302","-0.645772"
"277567242637","3.292396","3.246138","3.189954","3.176199","3.065931","3.035856","3.035357","3.017967","3.342823","3.405143","3.231706","3.223039","3.205573","3.072314","3.101390","3.072517","3.325855","3.206886","3.240217","3.149481","3.205779","3.016585","3.000000","3.164361","3.209000"
"277567575617","-1.751976","-1.683022","-1.608971","-1.551628","-1.677608","-1.786339","-1.785299","-1.762661","-1.560825","-1.631975","-1.526081","-1.490027","-1.764008","-1.517190","-1.576230","-1.516912","-1.711509","-1.453996","-1.496796","-1.495520","-1.628400","-1.746397","-1.793978","-1.445557","-1.449428"
"277567575617","-0.607065","-0.357006","-0.107079","0.022395","-0.196213","-0.461505","-0.717624","-0.768248","-0.231887","-0.481570","-0.631608","-0.672521","-0.594721","-0.736686","-1.121848","-1.191996","-0.609401","-0.731764","-1.110344","-1.164997","-0.169476","-0.814075","-0.764882","-0.734711","-0.647734"
"277567575617","3.300942","3.246505","3.182317","3.173715","3.061614","3.036528","3.026511","3.015603","3.341368","3.395846","3.240398","3.200889","3.212678","3.072330","3.101195","3.072942","3.335860","3.205397","3.239572","3.148060","3.200286","3.008290","2.985350","3.158965","3.200214"
"277567903017","-1.742273","-1.676087","-1.604696","-1.550398","-1.673732","-1.771258","-1.767169","-1.754962","-1.552918","-1.631378","-1.529891","-1.486136","-1.755067","-1.516598","-1.574299","-1.518536","-1.701456","-1.452773","-1.496736","-1.496665","-1.623508","-1.749294","-1.768578","-1.419164","-1.476621"
"277567903017","-0.562911","-0.328748","-0.092095","0.038772","-0.180870","-0.446227","-0.679351","-0.751921","-0.210658","-0.481699","-0.629407","-0.645354","-0.552201","-0.735016","-1.119237","-1.191752","-0.564710","-0.729393","-1.110415","-1.166580","-0.151541","-0.810899","-0.745917","-0.681956","-0.615790"
"277567903017","3.318205","3.251137","3.179289","3.171123","3.057678","3.029113","3.021084","3.008176","3.339934","3.394930","3.237066","3.216414","3.230216","3.072166","3.103405","3.070903","3.352644","3.202628","3.239547","3.148985","3.198673","3.004827","2.962667","3.182190","3.234071"
"277568243427","-1.745134","-1.676919","-1.600987","-1.550864","-1.668800","-1.761023","-1.753461","-1.740099","-1.550398","-1.623889","-1.527713","-1.482810","-1.758358","-1.515257","-1.574321","-1.524796","-1.704619","-1.450957","-1.498316","-1.494216","-1.621252","-1.731600","-1.792947","-1.420121","-1.441552"
"277568243427","-0.562951","-0.322967","-0.074713","0.058415","-0.162264","-0.426734","-0.679982","-0.744805","-0.197359","-0.470031","-0.626568","-0.643377","-0.553633","-0.730280","-1.118679","-1.194309","-0.563222","-0.725182","-1.109412","-1.172000","-0.137118","-0.805898","-0.774969","-0.683935","-0.640229"
"277568243427","3.317510","3.251764","3.180320","3.168883","3.050909","3.022785","3.018829","2.998251","3.336558","3.392324","3.235807","3.215645","3.230540","3.072749","3.102958","3.066521","3.350612","3.197985","3.233860","3.148989","3.199825","3.008771","3.000667","3.182855","3.222700"
