"Time","SpineBase","SpineMid","Neck","Head","ShoulderLeft","ElbowLeft","WristLeft","HandLeft","ShoulderRight","ElbowRight","WristRight","HandRight","HipLeft","KneeLeft","AnkleLeft","FootLeft","HipRight","KneeRight","AnkleRight","FootRight","SpineShoulder","HandTipLeft","ThumbLeft","HandTipRight","ThumbRight"
"277316244730","-1.828578","-1.775074","-1.717019","-1.648680","-1.767560","-1.868566","-1.835719","-1.781769","-1.670540","-1.737442","-1.567194","-1.509565","-1.836402","-1.539352","-1.591712","-1.533197","-1.792188","-1.483374","-1.543144","-1.545325","-1.732406","-1.756599","-1.717595","-1.481577","-1.459950"
"277316244730","-0.676499","-0.432230","-0.190010","-0.065908","-0.282978","-0.476986","-0.695703","-0.756857","-0.301557","-0.567177","-0.684427","-0.719367","-0.667097","-0.789918","-1.128078","-1.184554","-0.675327","-0.823110","-1.118976","-1.170168","-0.250326","-0.817362","-0.720034","-0.759438","-0.725162"
"277316244730","3.267863","3.246775","3.216318","3.216204","3.104104","3.042081","3.035837","3.041004","3.390475","3.476851","3.249647","3.217744","3.183266","3.068830","3.098770","3.094876","3.301366","3.260857","3.245719","3.127459","3.225680","3.014515","3.034778","3.086909","3.198411"
"277316575544","-1.805074","-1.760842","-1.710272","-1.636042","-1.758105","-1.850598","-1.831533","-1.768494","-1.660748","-1.732309","-1.548977","-1.490318","-1.813240","-1.536776","-1.590936","-1.527950","-1.769334","-1.482496","-1.541602","-1.518851","-1.724313","-1.749051","-1.730449","-1.430258","-1.445293"
"277316575544","-0.656666","-0.422421","-0.186725","-0.058853","-0.280423","-0.526633","-0.755612","-0.786443","-0.297088","-0.564820","-0.657677","-0.697543","-0.648437","-0.797078","-1.127648","-1.188673","-0.654860","-0.823164","-1.119997","-1.173328","-0.245941","-0.818459","-0.769706","-0.726971","-0.684834"
"277316575544","3.313686","3.263330","3.217171","3.208565","3.100962","3.047580","3.029972","3.024122","3.388107","3.472946","3.272681","3.228901","3.231293","3.068290","3.099241","3.096810","3.345423","3.259812","3.246092","3.158537","3.228978","3.008410","3.039333","3.214579","3.224334"
"277316905460","-1.824153","-1.760957","-1.696453","-1.626568","-1.747107","-1.850779","-1.801517","-1.767658","-1.643983","-1.717169","-1.609526","-1.549792","-1.836018","-1.538200","-1.590183","-1.581978","-1.784859","-1.483386","-1.544114","-1.528212","-1.714654","-1.752723","-1.743266","-1.500432","-1.501275"
"277316905460","-0.649565","-0.413976","-0.175208","-0.048307","-0.263678","-0.527038","-0.758361","-0.779809","-0.280781","-0.550856","-0.645875","-0.677227","-0.639521","-0.743726","-1.126286","-1.201605","-0.649484","-0.739028","-1.112187","-1.172645","-0.235654","-0.819883","-0.759326","-0.738490","-0.662635"
"277316905460","3.334220","3.274871","3.218859","3.204490","3.097840","3.048445","3.037258","3.031141","3.379967","3.459008","3.261384","3.235893","3.257383","3.070476","3.099897","3.040867","3.360944","3.227327","3.232509","3.148368","3.233896","3.007037","3.085222","3.179010","3.217800"
"277317244733","-1.822751","-1.754848","-1.681209","-1.616815","-1.736147","-1.830775","-1.802902","-1.769893","-1.630126","-1.692405","-1.537346","-1.514543","-1.834157","-1.541274","-1.587449","-1.490179","-1.783372","-1.483250","-1.542291","-1.525088","-1.700871","-1.741633","-1.696277","-1.470995","-1.469240"
